Model,RMSE,MAE,R2
A: Glucose only,19.72362966146136,14.128057742145064,0.9121083994570258
B: Glucose + HeartRate,20.68439776476533,14.810652505883724,0.9033371811356526
C: Glucose + Carbs(meals),19.736240541155777,14.424786670154644,0.9119959713937794
D: Glucose + HR + Steps + Carbs + Sleep,19.686567938705043,14.10756508491832,0.9124383948749858
